country,iso_code,date,year,co2_pc,total_co2,gdp_pc,population
Japan,JPN,2022-01-01,2022,8.237,1029.645,38196.69673349289,124997585.0
Kazakhstan,KAZ,2022-01-01,2022,13.694,274.346,25138.19896332407,20034612.0
Kenya,KEN,2022-01-01,2022,0.379,20.544,3508.8207998981356,54252458.0
Kyrgyzstan,KGZ,2022-01-01,2022,1.655,11.513,4557.78481400824,6955792.0
Cambodia,KHM,2022-01-01,2022,1.213,20.865,3786.6323954446184,17201721.0
South Korea,KOR,2022-01-01,2022,11.72,606.877,41279.54475944245,51782515.0
Kuwait,KWT,2022-01-01,2022,25.242,115.849,47709.022609583495,4589514.0
Laos,LAO,2022-01-01,2022,2.983,22.549,7269.988720874485,7559008.0
Lebanon,LBN,2022-01-01,2022,2.674,15.361,8484.94708566049,5744492.0
Liberia,LBR,2022-01-01,2022,0.161,0.864,787.5167025012762,5373297.0
Libya,LBY,2022-01-01,2022,8.164,58.974,12658.771049851297,7223804.0
Saint Lucia,LCA,2022-01-01,2022,2.898,0.518,9782.689307247447,178794.0
Sri Lanka,LKA,2022-01-01,2022,0.805,18.377,11156.07570640025,22834965.0
Lesotho,LSO,2022-01-01,2022,1.116,2.551,2082.8914681345445,2286112.0
Lithuania,LTU,2022-01-01,2022,4.578,12.895,30108.83074404235,2816923.0
Luxembourg,LUX,2022-01-01,2022,11.135,7.274,55300.06005066469,653315.0
Latvia,LVA,2022-01-01,2022,3.513,6.608,27244.483046517944,1881059.0
Morocco,MAR,2022-01-01,2022,1.869,69.779,8348.854239141465,37329068.0
Moldova,MDA,2022-01-01,2022,1.702,5.173,7838.047370283942,3039986.0
Madagascar,MDG,2022-01-01,2022,0.138,4.21,1268.2543386870454,30437261.0
Mexico,MEX,2022-01-01,2022,3.528,453.799,15810.499473374084,128613116.0
North Macedonia,MKD,2022-01-01,2022,3.995,7.352,15634.003673985293,1840236.0
Mali,MLI,2022-01-01,2022,0.304,7.02,1324.1260936275132,23072641.0
Malta,MLT,2022-01-01,2022,3.359,1.774,34637.14656546648,528194.0
Myanmar,MMR,2022-01-01,2022,0.589,31.639,5413.736194465179,53756791.0
Montenegro,MNE,2022-01-01,2022,4.06,2.495,20783.243578042104,614649.0
Mongolia,MNG,2022-01-01,2022,11.944,40.443,13233.687160866091,3386015.0
Mozambique,MOZ,2022-01-01,2022,0.285,9.296,962.809058954181,32656242.0
Mauritania,MRT,2022-01-01,2022,1.08,5.267,3214.866572087708,4875644.0
Mauritius,MUS,2022-01-01,2022,3.383,4.317,21148.699619318973,1276134.0
Malawi,MWI,2022-01-01,2022,0.088,1.801,1286.6788643402454,20568731.0
Malaysia,MYS,2022-01-01,2022,8.125,281.884,25293.89546749212,34695494.0
Namibia,NAM,2022-01-01,2022,1.181,3.414,7564.443537458283,2889668.0
Niger,NER,2022-01-01,2022,0.126,3.201,978.8549213340814,25311978.0
Nigeria,NGA,2022-01-01,2022,0.589,131.441,5083.773131756857,223150906.0
Nicaragua,NIC,2022-01-01,2022,0.762,5.131,4867.988041146621,6730662.0
Netherlands,NLD,2022-01-01,2022,7.121,127.503,49128.039977668086,17904421.0
Norway,NOR,2022-01-01,2022,7.483,40.833,88390.41290750103,5456796.0
Nepal,NPL,2022-01-01,2022,0.593,17.609,3229.4970811297226,29715435.0
New Zealand,NZL,2022-01-01,2022,6.229,31.966,39090.66162587244,5131731.0
Oman,OMN,2022-01-01,2022,16.488,77.994,37493.95815149753,4730229.0
Pakistan,PAK,2022-01-01,2022,0.87,211.97,5411.70028622039,243700667.0
Panama,PAN,2022-01-01,2022,2.66,11.707,21533.052625503464,4400775.0
Peru,PER,2022-01-01,2022,1.935,64.785,10206.81652645241,33475436.0
Philippines,PHL,2022-01-01,2022,1.325,150.963,8904.636286360199,113964343.0
Poland,POL,2022-01-01,2022,8.203,314.892,32069.76159986937,38385734.0
North Korea,PRK,2022-01-01,2022,2.138,56.289,1537.81339567409,26328843.0
