gdp_q,countries,avg_co2_pc,median_co2_pc,min_gdp_pc,max_gdp_pc
1,42,0.47957142857142854,0.304,688.9127835670051,4443.555847072717
2,41,2.306609756097561,1.945,4538.220196355551,12658.771049851297
3,41,5.574390243902439,4.06,12792.059168613538,27406.826716961907
4,41,9.84429268292683,7.483,27472.1486181289,131990.52538906247
