region_group,countries,latest_year,total_co2_mt,population,avg_co2_pc,median_co2_pc,weighted_co2_pc
EU27,27,2022,2736.944,449113463.0,5.9852592592592595,5.705,6.094103663064761
Non-EU,137,2022,33740.766,7461451512.0,4.237948905109489,2.138,4.522011025031238
